id,created_at,text
1039129383292858368,2018-09-10 12:32:05,b'Taliban insurgents killed at least 38 Afghan police officers and soldiers in four attacks in northern Afghanistan o\xe2\x80\xa6 https://t.co/4Rm97xz1Nq'
1039126601227796487,2018-09-10 12:21:02,"b'Vaccines against HIV, malaria and tuberculosis are unlikely to be produced in the foreseeable future unless vastly\xe2\x80\xa6 https://t.co/xGqNe6ivFS'"
1039123840809484288,2018-09-10 12:10:04,"b""Your daily @DealBook Briefing:\n\n\xe2\x80\xa2 Les Moonves's exit shows the power of #MeToo.\n\n\xe2\x80\xa2 Alibaba's co-founder steps down\xe2\x80\xa6 https://t.co/7cjVNJAKWR"""
1039121324570898434,2018-09-10 12:00:04,"b'In June, a 15-year-old known as ""Junior"" was stabbed to death outside a Bronx bodega. Footage from his killing went\xe2\x80\xa6 https://t.co/4JbuakbbhZ'"
1039117545851314179,2018-09-10 11:45:03,"b'RT @nytimesworld: The Australian Parliament is plagued by \xe2\x80\x9ctoxic masculinity,\xe2\x80\x9d critics say: \xe2\x80\x9cWe take school kids and tourists and foreign d\xe2\x80\xa6'"
1039113788346322944,2018-09-10 11:30:07,"b'RT @nytimesbusiness Harvard students demanded a ""living wage"" for campus workers. The university heeded the call an\xe2\x80\xa6 https://t.co/VEF9LWUuzu'"
1039110013506215937,2018-09-10 11:15:07,"b'George Papadopoulos, a former Trump campaign adviser, spoke about why he lied to the FBI https://t.co/nP0mvwRPZD'"
1039106230126604289,2018-09-10 11:00:05,b'The beauty of the Genoa Bridge was its simplicity. But engineers gradually recognized that the structure had so few\xe2\x80\xa6 https://t.co/yMuiRnxTaN'
1039103196780802048,2018-09-10 10:48:02,"b'The U.S. Open women\xe2\x80\x99s final was ""a pity for all concerned, but it was, above all, a pity for Naomi Osaka,"" writes\xe2\x80\xa6 https://t.co/us6A4rTlzy'"
1039101223205564416,2018-09-10 10:40:11,"b""Morning\xc2\xa0Briefing: Here's what you need to know to start your day https://t.co/LVAwbKS5kT https://t.co/QMb6vDL1my"""
1039098695600558081,2018-09-10 10:30:09,"b'Federal prosecutors now say they were ""mistaken"" when they accused alleged Russian operative Maria Butina of offeri\xe2\x80\xa6 https://t.co/3r3k1ha3gG'"
1039096401655939072,2018-09-10 10:21:02,"b'Forecasters said Hurricane Florence, which was heading toward North and South Carolina, would \xe2\x80\x9cremain an extremely\xe2\x80\xa6 https://t.co/vMJuvWa3PS'"
1039093898013040641,2018-09-10 10:11:05,"b""What happened at the women's final of the U.S. Open between Serena Williams, Naomi Osaka, and umpire Carlos Ramos?\xe2\x80\xa6 https://t.co/gyvx2um2Dq"""
1039088365382131712,2018-09-10 09:49:06,"b""Giuseppe Conte continued to pursue a contingency gig \xe2\x80\x94 despite having become prime minister of Europe's fourth larg\xe2\x80\xa6 https://t.co/fsHQhzsyFl"""
1039086088231559169,2018-09-10 09:40:03,"b'A 2,000-foot long unmanned boom is on its way to the Great Pacific Garbage Patch, where organizers hope it will tra\xe2\x80\xa6 https://t.co/L4LNzwszBX'"
1039083842441830400,2018-09-10 09:31:07,"b""RT @MattAndersonNYT: Thirty years ago, acid house music took over Britain. Here is its story, told through the era's amazing fliers. https:\xe2\x80\xa6"""
1039079807038971905,2018-09-10 09:15:05,"b'Davide Capello, sopravvissuto dal crollo del ponte Morandi a Genova, racconta a The New York Times i quattro second\xe2\x80\xa6 https://t.co/Y8p4zpDRZV'"
